date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:01:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Feb%202022%2003:01:18%20GMT	http://cdn.jsdelivr.net/bootstrap/3.3.7/js/bootstrap.js	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/cdn.jsdelivr.net/bootstrap/3.3.7/js/bootstrap.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:19	1678/1678	---M--	200	added ('OK')	application/javascript	etag:%2268e-5593e5f1d83c7%22	http://www.fimcp.espol.edu.ec/sites/all/modules/themekey/themekey_redirect/themekey_redirect.js?r6fkpi	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/modules/themekey/themekey_redirect/themekey_redirect6b37.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:19	5084/5084	---M--	200	added ('OK')	application/javascript	etag:%2213dc-590b9b0043d0b%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/languages/es_XfbYrWqOxjgKD3VZBIfDqqVChqBiMl7MCRCHhvhzAlc.js?r6fkpi	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/languages/es_XfbYrWqOxjgKD3VZBIfDqqVChqBiMl7MCRCHhvhzAlc6b37.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:20	6260/6260	---M--	200	added ('OK')	application/javascript	etag:%221874-596dbd9639db5%22	http://www.fimcp.espol.edu.ec/sites/all/modules/google_analytics/googleanalytics.js?r6fkpi	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/modules/google_analytics/googleanalytics6b37.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:20	69707/69707	---M-Z	200	added ('OK')	application/javascript	etag:W/%221104b-O5ZaNqawiFStbt3t+FxTGf05K0o%22	https://cdn.jsdelivr.net/bootstrap/3.3.7/js/bootstrap.js	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/cdn.jsdelivr.net/bootstrap/3.3.7/js/bootstrap.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:21	2322/2322	---M--	200	added ('OK')	application/javascript	etag:%22912-50fedd1f95f00%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/js/jquery.smartmenus.bootstrap.js?r6fkpi	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/js/jquery.smartmenus.bootstrap6b37.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:21	3418/3418	---M--	200	added ('OK')	application/javascript	etag:%22d5a-59ca96011002d%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/js/fimcp.js?r6fkpi	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/js/fimcp6b37.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:24	101516/101516	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2007%20Feb%202022%2003:01:23%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/connect.facebook.net/en_US/fbevents.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:25	6731/6731	---M--	200	added ('OK')	image/png	etag:%221a4b-58ac205b3f6f4%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/fimcp.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/fimcp.png	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:27	42941/42941	---M--	200	added ('OK')	application/javascript	etag:%22a7bd-50fedd1f95f00%22	http://www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/js/jquery.smartmenus.js?r6fkpi	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/testfimcp/js/jquery.smartmenus6b37.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:28	92629/92629	---M--	200	added ('OK')	application/javascript	etag:%22169d5-52574a27ba700%22	http://www.fimcp.espol.edu.ec/sites/all/modules/jquery_update/replace/jquery/1.9/jquery.min.js?v=1.9.1	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/modules/jquery_update/replace/jquery/1.9/jquery.min4b17.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:30	26900/26900	---MC-	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2002:54:47%20GMT	http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica/Datos-Estudiantiles	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica/Datos-Estudiantiles.html	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:30	641/641	---M--	200	added ('OK')	image/gif	etag:%22281-556bc60b6cddf%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/en.gif	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/en.gif	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:30	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.google-analytics.com/analytics.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:30	481/481	---M--	200	added ('OK')	image/png	etag:%221e1-529f1f1bb62c0%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-sociales/iconredes-07.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-sociales/iconredes-07.png	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:31	695/695	---M--	200	added ('OK')	image/png	etag:%222b7-529f1f1bb62c0%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-sociales/iconredes-08.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-sociales/iconredes-08.png	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:31	649/649	---M--	200	added ('OK')	image/png	etag:%22289-534a1970bf5ea%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-12.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-12.png	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:31	487/487	---M--	200	added ('OK')	image/png	etag:%221e7-53f29868ab6c0%22	http://www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-sociales/redes-13.png	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/fimcp.espol.edu.ec/files/redes-sociales/redes-13.png	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
22:01:32	2196/2196	---M--	200	added ('OK')	image/gif	etag:%22894-596dbcda58335%22	http://www.fimcp.espol.edu.ec/sites/all/modules/ctools/images/status-active.gif	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/modules/ctools/images/status-active.gif	(from http://www.fimcp.espol.edu.ec/sites/all/modules/ctools/css/ctools.css?r6fkpi)
22:01:33	9915/9915	---M--	200	added ('OK')	application/javascript	etag:%2226bb-57ffaa5cdc529%22	http://www.fimcp.espol.edu.ec/sites/all/themes/bootstrap/js/bootstrap.js?r6fkpi	C:/Users/Ifer%20Mieles/Escritorio/PagMecatronica/MecatronicaPagWeb/www.fimcp.espol.edu.ec/sites/all/themes/bootstrap/js/bootstrap6b37.js	(from http://www.fimcp.espol.edu.ec/es/Pregrado/Ingenieria-Mecatronica)
